ham,smish,Unique Url,FQDN,Website Size in KB,Website Textual Content Length,Status Code,Parked
0,1,http://bit.ly/ChangePassword,bit.ly,137740,28069,200,1
0,1,https://t.me/Trust_earning_Airdropbot?start=r02156081575,t.me,19558,2122,200,0
1,0,https://mygp.li/v1,mygp.li,436341,291495,200,0
0,1,http://www.betwins7.com/?r=ghd8054,www.betwins7.com,876,62,200,0
0,1,https://t.me/JanataUpdateBot2,t.me,19558,2122,200,0
0,1,http://bit.ly/UnknownTxn,bit.ly,137740,28069,200,1
0,1,https://refer.mslgames.com/YfrcqEcoToos53HN7,refer.mslgames.com,0,0,-1,0
0,1,https://link-monetize.com/register?ref=273312,link-monetize.com,0,0,-1,0
0,1,https://t.me/JanataUrgentBot,t.me,19558,2122,200,0
0,1,https://wa.me/8801818899001,wa.me,179713,35968,200,0
0,1,https://wa.me/8801914567890,wa.me,179930,36116,200,0
0,1,https://t.me/DailyEarn_Money_bot?start=r08826531935,t.me,19558,2122,200,0
0,1,https://ow.ly/,ow.ly,299042,155117,200,0
0,1,https://t.me/forsagec77,t.me,19558,2122,200,0
0,1,http://bit.ly/CryptoInvest,bit.ly,137740,28069,200,1
1,0,https://student.aiub.edu.bd/,student.aiub.edu.bd,0,0,-1,0
0,1,https://wa.me/8801916677889,wa.me,184993,35972,200,0
0,1,https://cutt.ly/Deo,cutt.ly,114920,27254,200,0
0,1,http://bit.ly/CryptoDeal,bit.ly,137740,28069,200,1
1,0,https://bit.ly/wtisd24,bit.ly,137740,28069,200,1
1,0,https://mygp.li/ga,mygp.li,436341,291495,200,0
0,1,https://t.me/Referincome3838_bot?start=r02263807585,t.me,19558,2122,200,0
0,1,https://wa.me/8801918899001,wa.me,179782,35969,200,0
0,1,https://lnkd.in/gmvCtjH7,lnkd.in,142593,5253,200,0
0,1,https://adswork-bd.com/register?ref=140639,adswork-bd.com,92567,91742,200,0
0,1,https://wa.me/8801719876543,wa.me,184995,35974,200,0
0,1,https://wa.me/8801913233245,wa.me,184990,35969,200,0
0,1,https://t.me/Referincomebd4536_bot?start=r05291672775,t.me,19558,2122,200,0
1,0,https://student.daffodil.edu.bd/,student.daffodil.edu.bd,0,0,-1,0
0,1,http://bit.ly/CardLimit,bit.ly,137740,28069,200,1
0,1,https://t.me/DailyEarn_Money_bot?start=r08368814246,t.me,19558,2122,200,0
0,1,https://t.me/DailyEarn_Money_bot?start=r09374471604,t.me,19558,2122,200,0
0,1,https://wa.me/8801320862219,wa.me,179712,35971,200,0
0,1,https://wa.me/8801712345678,wa.me,179717,35972,200,0
0,1,https://t.me/darazbotpay_bot?start=r05257773745,t.me,19558,2122,200,0
1,0,http://www.btrc.gov.bd/,www.btrc.gov.bd,0,0,-1,0
1,0,https://student.iubat.edu.bd/,student.iubat.edu.bd,0,0,-1,0
0,1,https://wa.me/8801914344356,wa.me,179714,35968,200,0
0,1,www.face3b00kwebsite.com,www.face3b00kwebsite.com,0,0,-1,0
0,1,http://bit.ly/UnblockCard,bit.ly,137740,28069,200,1
0,1,https://www.highcpmgate.com/muigh4ey03?key=beb861fae1d527a916402431ed1e7eb8,www.highcpmgate.com,273977,6060,200,0
0,1,https://wa.me/8801812122234,wa.me,179712,35971,200,0
0,1,https://t.me/Referincomebd4536_bot?start=r09402022185,t.me,19558,2122,200,0
0,1,https://t.me/Referincomebd4536_bot?start=r04697367725,t.me,19558,2122,200,0
0,1,http://bit.do/Coinbase432194-53242,bit.do,0,0,-1,0
0,1,http://bit.ly/SecureCard,bit.ly,137740,28069,200,1
0,1,http://bit.ly/EasyCrypto,bit.ly,137740,28069,200,1
0,1,https://t.me/DailyEarn_Money_bot?start=r07709397116,t.me,19558,2122,200,0
0,1,https://wa.me/8801719900112,wa.me,179714,35969,200,0
0,1,https://t.me/NagadPrizeBot2,t.me,19558,2122,200,0
0,1,http://bit.ly/VerifyCard,bit.ly,137740,28069,200,1
0,1,https://t.me/NagadFundsBot,t.me,19558,2122,200,0
0,1,https://bit.ly/20wpYK6](https://bit.ly/20wpYK6,bit.ly,137740,28069,200,1
1,0,https://mygp.li/mo,mygp.li,436341,291495,200,0
0,1,https://t.me/Referincomebd4536_bot?start=r05228152535,t.me,19557,2122,200,0
1,0,https://joinairforce.baf.mil.bd,joinairforce.baf.mil.bd,0,0,-1,0
0,1,https://t.me/hamster_kombat_boT/start,t.me,19558,2122,200,0
0,1,https://t.me/herewalletbot/app?startapp=12940707,t.me,19558,2122,200,0
0,1,http://bit.ly/PayBill,bit.ly,137740,28069,200,1
0,1,https://laptop.vkxd.top/?ok=8yYRANEs,laptop.vkxd.top,0,0,-1,0
0,1,https://wa.me/8801717788990,wa.me,179710,35969,200,0
0,1,https://t.me/JanataUrgentBot2,t.me,19558,2122,200,0
1,0,https://cutt.ly/QNMk4Eg,cutt.ly,114920,27254,200,0
0,1,http://bit.ly/CardUpdate,bit.ly,137740,28069,200,1
0,1,https://t.me/DailyEarn_Money_bot?start=r06862137946,t.me,19558,2122,200,0
0,1,www.pinupdate.com,www.pinupdate.com,0,0,-1,0
0,1,https://jycmyfyxx.toeverge.top/7e3ackVlQwlzSkV6BEIDeH9QD39bByUBDk9vJ289FAZZUFJNZBYCASsVPDQ4UiQAAy1cIzJSGkRyNSF_ClxRVnIhWwsR&p=rqrrms&_mi1711019676868,jycmyfyxx.toeverge.top,0,0,-1,0
0,1,https://t.me/Referincomebd4536_bot?start=r02800826975,t.me,19558,2122,200,0
0,1,https://wa.me/8801819876543,wa.me,184990,35969,200,0
0,1,https://t.me/DailyEarn_Money_bot?start=r07045881105](https://t.me/DailyEarn_Money_bot?start=r07045881105,t.me,19558,2122,200,0
0,1,https://wa.me/8801919900112,wa.me,184990,35968,200,0
1,0,https://student.iba-du.edu.bd/,student.iba-du.edu.bd,0,0,-1,0
0,1,https://www.etsy.com/search?,www.etsy.com,0,0,200,0
1,0,https://student.northsouth.edu.bd/,student.northsouth.edu.bd,0,0,-1,0
0,1,https://t.co/EbXRF7TAFA?fbclid=9hIT17itA7iWLnV5aHpMh2SKDK_FREE_TO_WATCH_MY_VIDEOS_ONLY_FOR_TODAY_AND_FREE_LIVE_CAM_DATING_PRIVATE_WITH_ME_PLEASE_JOIN_ME,t.co,3367,337,200,0
0,1,https://wa.me/8801915566778,wa.me,184991,35969,200,0
0,1,https://t.me/Poolsclub,t.me,19558,2122,200,0
0,1,https://bjmltcyj.prescriptiondome.top/12acdFRHQ1QBeQYFaFMrInxbWQlvWCRyW0ZWbzEUBAIkCAAZVDkbGyVcLDFLVF8NGyc1cUwTTQVBXhUndyBoPDwKVBXhUndyBoPDwKu7&12_9p0xmi&120px,bjmltcyj.prescriptiondome.top,0,0,-1,0
0,1,https://wa.me/8801726768680,wa.me,185140,36119,200,0
0,1,https://t.me/JanataUpdateBot5,t.me,19558,2122,200,0
0,1,https://bit.ly/bKash_1000,bit.ly,137740,28069,200,1
0,1,https://t.me/JanataPrizeBot,t.me,19558,2122,200,0
0,1,https://wa.me/8801811011123,wa.me,184989,35968,200,0
0,1,https://midgerelativelyhoax.com/wukj2e6w?key=c365cd811b55b1d2a541dfadf1d4f7de,midgerelativelyhoax.com,273993,6057,200,0
0,1,https://laptop.vkrh.top/?ok=PKQMAHca,laptop.vkrh.top,0,0,-1,0
0,1,https://wa.me/88017444378617,wa.me,184989,35968,200,0
0,1,www.face3b00kurl.com,www.face3b00kurl.com,0,0,-1,0
0,1,http://bit.ly/UpdateNotify,bit.ly,137740,28069,200,1
0,1,https://t.me/hamster_Kombat_bot/start](https://t.me/hamster_Kombat_bot/start,t.me,19558,2122,200,0
0,1,https://wa.me/8801712122234,wa.me,184988,35968,200,0
0,1,https://cutt.ly/Cr1ket,cutt.ly,114920,27254,200,0
0,1,https://t.me/Referincomebd4536_bot?start=r05236457375,t.me,19557,2122,200,0
1,0,www.joinnavy.navy.mil.bd,www.joinnavy.navy.mil.bd,25172,6708,200,0
0,1,https://t.me/Trust_earning_Airdropbot?start=r04351947315,t.me,19558,2122,200,0
0,1,https://wa.me/8801917788990,wa.me,185058,35968,200,0
0,1,https://wa.me/8801711011123,wa.me,179714,35968,200,0
0,1,http://bit.ly/FreeCrypto,bit.ly,137740,28069,200,1
0,1,https://wa.me/8801929757090](https://wa.me/8801929757090,wa.me,179785,35971,200,0
0,1,https://t.me/NagadDepositBot,t.me,19558,2122,200,0
0,1,http://bit.ly/VerifyInfo,bit.ly,137740,28069,200,1
0,1,http://bit.ly/BitcoinOffer,bit.ly,137740,28069,200,1
0,1,https://wa.me/8801872825931,wa.me,184992,35971,200,0
1,0,www.award.sheikhrussel.gov.bd,www.award.sheikhrussel.gov.bd,0,0,-1,0
1,0,www.moysports.gov.bd,www.moysports.gov.bd,0,0,-1,0
1,0,https://student.ulab.edu.bd/,student.ulab.edu.bd,0,0,-1,0
0,1,http://bit.ly/sdfsdf678,bit.ly,137740,28069,200,1
0,1,http://bit.ly/BigProfit,bit.ly,137740,28069,200,1
0,1,https://t.me/Moshiur3412_bot?start=r00372672385,t.me,19558,2122,200,0
0,1,https://rebrand.ly/C-Arena,rebrand.ly,214191,2284,200,1
0,1,www.face3b00kisp.com,www.face3b00kisp.com,0,0,-1,0
0,1,https://t.me/darazbotpay_bot?start=r01789928105,t.me,19557,2122,200,0
0,1,https://api.whatsapp.com/send/?phone=8801328101352,api.whatsapp.com,184988,35968,200,0
0,1,https://ak76.xyz/?y=ep1669102548,ak76.xyz,0,0,-1,0
0,1,https://t.me/JanataUpdateBot,t.me,19558,2122,200,0
1,0,www.ecs.gov.bd,www.ecs.gov.bd,79978,6759,200,0
0,1,https://t.me/hamster_koMbat_bot/start?startapp=kentId6816861581,t.me,19558,2122,200,0
0,1,https://t.me/free_online_income_24bot,t.me,19555,2122,200,0
0,1,https://t.me/pixelversexyzbot?start=6760562639,t.me,19558,2122,200,0
0,1,https://wa.me/8801815566778,wa.me,179712,35968,200,0
0,1,https://t.me/NagadActivateBot,t.me,19558,2122,200,0
0,1,http://bit.ly/CardSecure,bit.ly,137740,28069,200,1
0,1,http://bit.ly/LoginHelp,bit.ly,137740,28069,200,1
0,1,https://cutt.ly/CeoPN2O8,cutt.ly,114920,27254,200,0
0,1,https://t.me/Referincomebd4536_bot?start=r07921710994,t.me,19558,2122,200,0
1,0,https://click.daraz.com.bd/e/_CUeCuf,click.daraz.com.bd,559293,171621,200,1
0,1,https://wa.me/8801912122234,wa.me,179713,35968,200,0
